Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
249,748.90027,28993,8982,9013,10998,0,1.16E-11
250,754.20657,29135,9032,9058,11045,0,1.17E-11
251,759.58887,29283,9076,9106,11101,0,1.17E-11
252,764.97541,29426,9119,9148,11159,0,1.17E-11
253,770.3104,29551,9153,9183,11215,0,1.18E-11
254,775.8587,29697,9195,9225,11277,0,1.18E-11
255,781.24679,29847,9235,9281,11331,0,1.18E-11
256,786.70628,30004,9280,9326,11398,0,1.19E-11
257,792.20472,30168,9328,9379,11461,0,1.19E-11
258,797.64344,30297,9377,9422,11498,0,1.19E-11
259,803.19057,30426,9416,9459,11551,0,1.20E-11
260,808.78694,30549,9452,9504,11593,0,1.20E-11
261,814.30315,30697,9498,9550,11649,0,1.20E-11
262,819.80098,30851,9542,9593,11716,0,1.20E-11
263,825.44447,31004,9593,9649,11762,0,1.21E-11
264,831.10665,31125,9634,9679,11812,0,1.21E-11
265,836.85643,31273,9680,9715,11878,0,1.21E-11
266,842.69144,31410,9729,9758,11923,0,1.22E-11
267,848.36366,31554,9771,9801,11982,0,1.22E-11
268,854.04953,31702,9814,9840,12048,0,1.22E-11
269,859.78847,31866,9867,9887,12112,0,1.23E-11
270,865.66711,32005,9907,9924,12174,0,1.23E-11
271,871.45294,32130,9938,9964,12228,0,1.23E-11
272,877.35399,32278,9977,10021,12280,0,1.23E-11
273,883.1067,32408,10016,10059,12333,0,1.24E-11
274,888.99665,32533,10049,10093,12391,0,1.24E-11
275,894.84926,32678,10093,10146,12439,0,1.24E-11
276,900.85857,32860,10149,10196,12515,0,1.25E-11
277,906.80868,33032,10206,10239,12587,0,1.25E-11
278,912.80686,33167,10253,10281,12633,0,1.25E-11
279,918.84191,33299,10295,10316,12688,0,1.25E-11
280,924.91619,33459,10345,10359,12755,0,1.26E-11
281,930.94988,33616,10392,10410,12814,0,1.26E-11
282,937.04151,33744,10440,10435,12869,0,1.26E-11
283,943.12198,33892,10475,10487,12930,0,1.27E-11
284,949.18058,34045,10510,10536,12999,0,1.27E-11
285,955.36886,34196,10562,10578,13056,0,1.27E-11
286,961.55924,34359,10609,10628,13122,0,1.27E-11
287,967.70243,34518,10659,10680,13179,0,1.28E-11
288,973.88949,34690,10704,10734,13252,0,1.28E-11
289,980.06647,34815,10736,10777,13302,0,1.28E-11
290,986.43907,34957,10777,10812,13368,0,1.28E-11
291,992.68489,35081,10811,10862,13408,0,1.29E-11
292,998.93171,35245,10867,10913,13465,0,1.29E-11
293,1005.281,35401,10908,10960,13533,0,1.29E-11
294,1011.6489,35565,10952,11014,13599,0,1.29E-11
295,1018.0419,35726,10990,11063,13673,0,1.30E-11
296,1024.3023,35858,11037,11100,13721,0,1.30E-11
297,1030.7411,36020,11087,11151,13782,0,1.30E-11
298,1037.1733,36177,11138,11193,13846,0,1.30E-11
299,1043.5694,36331,11192,11238,13901,0,1.31E-11
300,1050.0746,36469,11233,11284,13952,0,1.31E-11
