Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
361,1050.1679,46095,14243,14084,17721,47,1.45E-11
362,1056.3523,46264,14293,14130,17787,54,1.45E-11
363,1062.3372,46431,14337,14175,17857,62,1.45E-11
364,1068.3445,46595,14388,14215,17922,70,1.45E-11
365,1074.4246,46773,14440,14276,17974,83,1.45E-11
366,1080.4207,46929,14481,14322,18027,99,1.46E-11
367,1086.5488,47090,14533,14368,18080,109,1.46E-11
368,1092.517,47254,14587,14408,18130,129,1.46E-11
369,1098.3105,47431,14639,14451,18198,143,1.46E-11
370,1104.1245,47616,14691,14501,18269,155,1.46E-11
371,1109.9483,47776,14731,14552,18319,174,1.47E-11
372,1115.8424,47943,14776,14587,18386,194,1.47E-11
373,1121.6229,48116,14831,14623,18451,211,1.47E-11
374,1127.5196,48291,14874,14666,18514,237,1.47E-11
375,1133.3789,48465,14917,14716,18571,261,1.47E-11
376,1139.5728,48638,14957,14752,18639,290,1.48E-11
377,1145.708,48824,15006,14808,18698,312,1.48E-11
378,1151.8176,48983,15047,14833,18764,339,1.48E-11
379,1158.009,49150,15095,14859,18815,381,1.48E-11
380,1164.3292,49302,15123,14906,18857,416,1.49E-11
381,1170.4289,49468,15159,14934,18925,450,1.49E-11
382,1176.6955,49639,15218,14959,18981,481,1.49E-11
383,1182.9479,49813,15254,15009,19034,516,1.49E-11
384,1189.2339,49981,15290,15044,19099,548,1.49E-11
385,1195.5319,50149,15332,15067,19158,592,1.50E-11
386,1201.9806,50327,15378,15108,19220,621,1.50E-11
387,1208.3854,50479,15406,15133,19266,674,1.50E-11
388,1214.9548,50652,15433,15167,19334,718,1.50E-11
389,1221.4151,50807,15473,15190,19382,762,1.50E-11
390,1228.1877,50997,15508,15232,19453,804,1.51E-11
391,1234.754,51159,15541,15269,19507,842,1.51E-11
392,1241.3513,51344,15572,15307,19569,896,1.51E-11
393,1247.9927,51519,15581,15345,19642,951,1.51E-11
394,1254.7654,51691,15604,15376,19713,998,1.51E-11
395,1261.5139,51858,15646,15411,19751,1050,1.52E-11
396,1268.2329,52032,15668,15425,19815,1124,1.52E-11
397,1274.9928,52213,15697,15463,19860,1193,1.52E-11
398,1281.8921,52397,15729,15487,19914,1267,1.52E-11
399,1288.7498,52566,15746,15518,19964,1338,1.53E-11
400,1295.7788,52745,15780,15555,20009,1401,1.53E-11
